supplier_id,company_name,country,city,product_category,unit,current_stock,max_capacity_monthly,unit_price_inr,lead_time_days,minimum_order_quantity,cold_chain_capable,temperature_range,quality_certifications,cdsco_approved,gmp_certified,reliability_score,on_time_delivery_rate,api_purity,batch_release_time,payment_terms,credit_rating,political_risk,contact_email,phone,business_hours,emergency_supply_available,contract_manufacturing,regulatory_filing_support
PHARM-0090,Rogers-Sanchez Biotech,South Korea,Johnside,Pain Relief Medications,units,283423,489499,7.77,29,5000,True,2-8°C,TGA Australia,True,True,98.0,95.8,N/A,N/A,LC at sight,AAA,Low,xhoover@hale.info,372.859.1412x08168,24/7 (international),True,False,True
PHARM-0091,Barton Group Life Sciences,India,East Paulbury,Oncology Drugs,doses,3175,7026,33793.8,7,500,True,2-8°C,"CDSCO Approved, US-FDA Approved",False,True,98.3,84.4,N/A,N/A,Net 60,BBB,Low,chadpayne@richard.com,+1-841-793-0630x62844,9 AM - 6 PM IST,False,False,True
PHARM-0092,Wheeler Ltd Biotech,Denmark,Kimberg,Finished Diabetes Medications,units,83102,236853,824.45,36,500,False,15-25°C,"MHRA UK, WHO-GMP, US-FDA Approved",True,False,77.4,85.8,N/A,N/A,Net 45,AA,Medium,conniekent@shaw-alvarez.com,(545)419-7370x4649,24/7 (international),True,False,True
PHARM-0093,Hanson and Sons Life Sciences,France,East Amandaland,Oncology Drugs,doses,3274,9160,41546.55,31,1000,False,15-25°C,"EU-GMP, US-FDA Approved",True,True,87.9,86.6,N/A,N/A,LC at sight,BBB,High,lawrencejames@patel.com,001-979-439-6476x6075,24/7 (international),True,False,True
PHARM-0094,Dixon and Sons Healthcare,Denmark,Manningfurt,Finished Antibiotics,units,334744,928078,58.44,45,10000,False,15-25°C,"US-FDA Approved, CDSCO Approved, EU-GMP",False,False,78.0,94.8,N/A,N/A,Net 45,AA,High,williamjimenez@mueller.org,2682948441,24/7 (international),True,False,False
PHARM-0095,Chan Ltd Life Sciences,Japan,North Bethside,Finished Cardiac Drugs,units,429010,1153894,38.45,32,500,False,15-25°C,"EU-GMP, TGA Australia",True,True,98.9,83.4,N/A,N/A,LC at sight,A,High,lisamiles@patterson.com,934.413.2085x2896,24/7 (international),True,True,False
PHARM-0096,Lin-Roach Life Sciences,India,Jackiemouth,Cold Chain Logistics Services,service,0,0,7.25,4,0,True,2-8°C,EU-GMP,True,False,98.3,97.1,N/A,N/A,LC at sight,BB,Low,christina87@bryant.com,(770)398-7940x4836,9 AM - 6 PM IST,False,False,False
PHARM-0097,Cooper and Sons Pharma,USA,Dianefurt,Finished Antibiotics,units,95459,170433,8.94,40,5000,False,15-25°C,"EU-GMP, CDSCO Approved, US-FDA Approved",False,False,73.5,78.9,N/A,N/A,LC at sight,BB,Low,carriemorris@sweeney.net,001-616-394-8107x5124,24/7 (international),True,True,False
PHARM-0098,Bryan Group Healthcare,China,North Erinberg,Cold Chain Logistics Services,service,0,0,4.83,21,0,True,2-8°C,WHO-GMP,True,True,79.6,91.9,N/A,N/A,Net 30,AA,High,carmen01@garcia.com,(895)624-2226x160,24/7 (international),True,False,False
PHARM-0099,Gallagher-Nelson Healthcare,Japan,Kendraside,Generic Essential Drugs,units,470694,892100,3.15,41,5000,False,15-25°C,"MHRA UK, TGA Australia",True,False,80.7,97.7,N/A,N/A,Advance payment,A,Low,amandacruz@cannon.com,001-350-828-6075,24/7 (international),True,False,False
PHARM-0100,"Peters, Henson and Garcia Pharma",UK,West Dawnland,Active Pharmaceutical Ingredients (API),kg,30414,63509,6891.19,31,500,True,2-8°C,ISO 13485,False,True,73.4,88.9,98.9%,6 days,Net 45,BBB,Low,hancockamy@hill-hardy.net,750-931-4334,24/7 (international),True,False,True
